2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ARC/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ARIA/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ARK/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ARKM/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ARPA/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ASR/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ASTER/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ASTR/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AT/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ATH/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=ATOM/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AUCTION/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AVA/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AVAAI/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AVAX/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AVNT/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AWE/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AXL/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AXS/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=AZTEC/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=B/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=B2/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BABY/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BANANA/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BANANAS31/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BANK/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BARD/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BAS/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BASED/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BAT/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BB/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BCH/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BEAM/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BEAT/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BERA/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BICO/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BIGTIME/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BIO/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BIRB/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BLESS/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BLUAI/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BLUR/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BNB/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BOME/USDT:USDT err=NetworkError delay_s=5.0
2026-07-01 04:29:21 | DEBUG    | [arbitrator.exchanges.ccxt_base:_watch_one:1278] - watch_ticker transient, retrying | exchange=bingx symbol=BR/USDT:USDT err=NetworkError delay_s=5.0
